;Project;Baseline;Type;Section;Chapter;Function;Hazard;Cause;Measure;Hierarchy #;ID;Entry Type;Hazard Type;RequireKey;Requirement;Description;Status;Priority;Owner;Owner (First Name);Owner (Last Name);Created By;Responsible;Registered Interest;Created On;Last Modified On;Modified By;Source;Charm;Open Points;S1 Subsystem;Hazard Remark;Harm;AFAP justification;Kano Ranking;Test Level;Rearrange Operation;Rearrange Reason;Initial Risk Assessment;Residual Risk Assessment;Validation Procedure State;New;Export;Level of Requirements;Level of Test;Usability;Domain;Applicable Generic Hazard;Hazard Effect To;System S1;Target Release S1;System IGS-Platform;Target Release IGS-Platform;System PreOPlan;Target Release PreOPlan;System ISS;IGS-Platform Subsystem;Target Release ISS;System S3;Target Release S3;S3 Subsystem;System NavSim;Target Release NavSim;Traced System;P1 before;P2 before;P1 after;Polarion Migration;Hierarchy
0;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;;;;;2.4;561938;Headline;Chapter;;Evaluation of Functions, Hazards, Risks and Measures;The evaluation of the risks is performed using the definitions and criteria in <XREF>561844</XREF>.The usage of the <XREF>561893</XREF> and the <XREF>568711</XREF> is explained in <XREF>561922</XREF>.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4']
1;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;;;;2.4.1;563430;Headline;Chapter;;Move trolley;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;05.08.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '1']
2;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;;;2.4.1.1;569143;Headline;Function;;Move trolley;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;04.09.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '1', '1']
3;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;1;;2.4.1.1.1;561941;Headline;Hazard;;Crushing due to trolley tipping over;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '1', '1', '1']
4;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;1;1;2.4.1.1.1.1;561942;Headline;Cause;;Movement over inclined surface or monitor movement changes the center of gravity of the trolley;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;#Haz09 #Haz42#Haz01;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;B;High;A;;['2', '4', '1', '1', '1', '1']
5;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;1;1;2.4.1.1.1.1.1;561943;Requirement;Measure;design_of_system_angle_of_10_degree;Trolley design prevents overbalance;The trolley must be designed in a way that prevents tipping over when placed in any transport position on an inclined plane at an angle of 10 °.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;28.03.2022 11:21;Rudolf Siebenhaar;;;;TrolleyU;IEC 60601-1, cl. 9.4.2.1, 9.4.2.2;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;Accepted;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '1', '1', '1', '1', '1']
6;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;2;;2.4.1.1.2;561944;Headline;Hazard;;Crushing through tilting of the device;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '1', '1', '2']
7;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;2;1;2.4.1.1.2.1;561947;Headline;Cause;;Increase of tilt moment due to additional weight;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;05.09.2022 15:47;Klaus-Peter Fichtner (EXT);;;;;;#Haz09 #Haz42;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;B;High;A;;['2', '4', '1', '1', '2', '1']
8;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;2;1;2.4.1.1.2.1.1;561949;Requirement;Measure;design_of_system;Design of the trolley;The trolley must be designed in a way that prevents tilting of the trolley when driving it over an inclined plane (i.e. ramp). Remark:Compliance with DIN EN 60601-1 tilt test;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;28.03.2022 11:21;Rudolf Siebenhaar;;;;TrolleyU;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;Accepted;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '1', '1', '2', '1', '1']
9;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;2;2;2.4.1.1.2.2;561950;Headline;Cause;;Moving the trolley over a doorstep, against a doorframe, wall or other equipment;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;05.09.2022 15:47;Klaus-Peter Fichtner (EXT);;;;;;#Haz09 #Haz42;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;B;High;A;;['2', '4', '1', '1', '2', '2']
