;Project;Baseline;Type;Hierarchy #;Section;Chapter;Function;Hazard;Cause;Measure;ID;Entry Type;Hazard Type;RequireKey;Requirement;Description;Status;Priority;Owner;Owner (First Name);Owner (Last Name);Created By;Responsible;Registered Interest;Created On;Last Modified On;Modified By;Source;Charm;Open Points;S1 Subsystem;Hazard Remark;Harm;AFAP justification;Kano Ranking;Test Level;Rearrange Operation;Rearrange Reason;Initial Risk Assessment;Residual Risk Assessment;Validation Procedure State;New;Export;Level of Requirements;Level of Test;Usability;Domain;Applicable Generic Hazard;Hazard Effect To;System S1;Target Release S1;System IGS-Platform;Target Release IGS-Platform;System PreOPlan;Target Release PreOPlan;System ISS;IGS-Platform Subsystem;Target Release ISS;System S3;Target Release S3;S3 Subsystem;System NavSim;Target Release NavSim;Traced System;P1 before;P2 before;P1 after;Polarion Migration
0;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4;4;;;;;;561938;H;Chapter;;Evaluation of Functions, Hazards, Risks and Measures;The evaluation of the risks is performed using the definitions and criteria in <XREF>561844</XREF>.The usage of the <XREF>561893</XREF> and the <XREF>568711</XREF> is explained in <XREF>561922</XREF>.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
1;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1;4;1.0;;;;;563430;H;Chapter;;Move trolley;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;05.08.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
2;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1;4;1.0;1.0;;;;569143;H;Function;;Move trolley;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;04.09.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
3;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.1;4;1.0;1.0;1.0;;;561941;H;Hazard;;Crushing due to trolley tipping over;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
4;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.1.1;4;1.0;1.0;1.0;1.0;;561942;H;Cause;;Movement over inclined surface or monitor movement changes the center of gravity of the trolley;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;#Haz09 #Haz42#Haz01;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;B;High;A;
5;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.1.1.1;4;1.0;1.0;1.0;1.0;1.0;561943;R;Measure;design_of_system_angle_of_10_degree;Trolley design prevents overbalance;The trolley must be designed in a way that prevents tipping over when placed in any transport position on an inclined plane at an angle of 10 °.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;28.03.2022 11:21;Rudolf Siebenhaar;;;;TrolleyU;IEC 60601-1, cl. 9.4.2.1, 9.4.2.2;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;Accepted;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
6;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.2;4;1.0;1.0;2.0;;;561944;H;Hazard;;Crushing through tilting of the device;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
7;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.2.1;4;1.0;1.0;2.0;1.0;;561947;H;Cause;;Increase of tilt moment due to additional weight;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;05.09.2022 15:47;Klaus-Peter Fichtner (EXT);;;;;;#Haz09 #Haz42;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;B;High;A;
8;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.2.1.1;4;1.0;1.0;2.0;1.0;1.0;561949;R;Measure;design_of_system;Design of the trolley;The trolley must be designed in a way that prevents tilting of the trolley when driving it over an inclined plane (i.e. ramp). Remark:Compliance with DIN EN 60601-1 tilt test;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;28.03.2022 11:21;Rudolf Siebenhaar;;;;TrolleyU;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;Accepted;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
9;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.2.2;4;1.0;1.0;2.0;2.0;;561950;H;Cause;;Moving the trolley over a doorstep, against a doorframe, wall or other equipment;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;05.09.2022 15:47;Klaus-Peter Fichtner (EXT);;;;;;#Haz09 #Haz42;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;B;High;A;
10;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.1.1.2.2.1;4;1.0;1.0;2.0;2.0;1.0;561951;R;Measure;rough_handling_test_trolley;Rough handling test trolley;The trolley shall be designed to comply with IEC 60601-1 cl. 15.3.5.Assumed speed of the trolley: 0,8 m/s +/- 0,1 m/s;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;25.03.2022 10:42;Rudolf Siebenhaar;;;;TrolleyU;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;Accepted;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
11;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.2;4;2.0;;;;;563439;H;Chapter;;Startup main unit in standalone mode;"Note, there are currently no risks related to ""Startup main unit in standalone mode"" identified.";Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;05.08.2020;15.06.2022 12:11;Johannes Schmidt;;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
12;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3;4;3.0;;;;;563431;H;Chapter;;Move main unit chassis in standalone mode;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;05.08.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
13;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1;4;3.0;1.0;;;;564254;H;Function;;Move main unit chassis in standalone mode;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
14;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1;4;3.0;1.0;1.0;;;564255;H;Hazard;;Explosion, fire (HS_056, HS_030);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;High temperature,Release of stored energy,Flammability,loss of basic safety or essential performance;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
15;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.1;4;3.0;1.0;1.0;1.0;;564256;H;Cause;;Short circuit of the battery (external);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Service Personnel,System,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
16;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.1.1;4;3.0;1.0;1.0;1.0;1.0;564257;R;Measure;coded_battery_connector;Coded battery connector;The battery connector for charging shall be coded in order to prevent connection with wrong polarity.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;"SFSIEC 60601-1; 15.4.3.1 Housing, 15.4.3.2 Connection";;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
