Project;Baseline;Type;Requirement;ID;Version;Hierarchy #;Description;Status;Priority;Owner;Owner (First Name);Owner (Last Name);Created By;Responsible;Registered Interest;Created On;Last Modified On;Modified By;Source;RequireKey;Charm;Open Points;Hazard Remark;Harm;AFAP justification;Entry Type;Kano Ranking;Test Level;Rearrange Operation;Rearrange Reason;Hazard;Initial Risk Assessment;Residual Risk Assessment;Hazard Type;Validation Procedure State;New;Export;Level of Requirements;Level of Test;Usability;Domain;Applicable Generic Hazard;Hazard Effect To;System S1;Target Release S1;S1 Subsystem;System IGS-Platform;Target Release IGS-Platform;System PreOPlan;Target Release PreOPlan;System ISS;IGS-Platform Subsystem;Target Release ISS;System S3;Target Release S3;S3 Subsystem;System NavSim;Target Release NavSim;Traced System;P1 before;P2 before;P1 after;Polarion Migration
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),""Evaluation of Functions, Hazards, Risks and Measures"",561938,6.1,2.4,The evaluation of the risks is performed using the definitions and criteria in <XREF>561844</XREF>.The usage of the <XREF>561893</XREF> and the <XREF>568711</XREF> is explained in <XREF>561922</XREF>.,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-07-29,2021-08-07  15:04:07,Yesin Gasmi (EXT),,,,,,,,Headline,Basic,n.a.,none,n.a.,Not Determined,Not determined,Not determined,,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,,S1M,VB10,,,,,,,,,,,,,,NotDetermined,,,,"
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Move trolley;563430;1.6;2.4.1;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-08-05;2021-08-07  15:03:49;Yesin Gasmi (EXT);;;;;;;;Headline;Basic;n.a.;none;n.a.;Not Determined;Not determined;Not determined;;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;;NotDetermined;;;;
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Move trolley;569143;1.2;2.4.1.1;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-09-04;2021-08-07  15:04:13;Yesin Gasmi (EXT);;;;;;;;Headline;Basic;n.a.;none;n.a.;Not Determined;Not determined;Not determined;Function;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;;NotDetermined;;;;
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Crushing due to trolley tipping over;561941;1.6;2.4.1.1.1;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-07-29;2021-08-07  15:03:51;Yesin Gasmi (EXT);;;;;;;;Headline;Basic;n.a.;none;n.a.;Not Determined;Not determined;Not determined;Hazard;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;;S1M;VB10;;;;;;;;;;;;;;NotDetermined;;;;
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Movement over inclined surface or monitor movement changes the center of gravity of the trolley,561942,1.12,2.4.1.1.1.1,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-07-29,2022-09-26  16:53:44,Klaus-Peter Fichtner (EXT),,,,,,#Haz09 #Haz42#Haz01,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,B,High,A,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Trolley design prevents overbalance,561943,4.5,2.4.1.1.1.1.1,The trolley must be designed in a way that prevents tipping over when placed in any transport position on an inclined plane at an angle of 10 °.,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-07-29,2022-03-28  11:21:03,Rudolf Siebenhaar,,design_of_system_angle_of_10_degree,,,""IEC 60601-1, cl. 9.4.2.1, 9.4.2.2"",,,Requirement,Basic,System Integration Test,none,n.a.,Not Determined,Not determined,Not determined,Measure,Accepted,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User"",S1M,VB10,TrolleyU,,,,,,,,,,,,,NotDetermined,,,,"
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Crushing through tilting of the device;561944;1.5;2.4.1.1.2;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-07-29;2021-08-07  15:04:04;Yesin Gasmi (EXT);;;;;;;;Headline;Basic;n.a.;none;n.a.;Not Determined;Not determined;Not determined;Hazard;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts;;S1M;VB10;;;;;;;;;;;;;;NotDetermined;;;;
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Increase of tilt moment due to additional weight,561947,1.5,2.4.1.1.2.1,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-07-29,2022-09-05  15:47:09,Klaus-Peter Fichtner (EXT),,,,,,#Haz09 #Haz42,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,B,High,A,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Design of the trolley,561949,2.6,2.4.1.1.2.1.1,The trolley must be designed in a way that prevents tilting of the trolley when driving it over an inclined plane (i.e. ramp). Remark:Compliance with DIN EN 60601-1 tilt test,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-07-29,2022-03-28  11:21:03,Rudolf Siebenhaar,,design_of_system,,,,,,Requirement,Basic,System Integration Test,none,n.a.,Not Determined,Not determined,Not determined,Measure,Accepted,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User"",S1M,VB10,TrolleyU,,,,,,,,,,,,,NotDetermined,,,,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),""Moving the trolley over a doorstep, against a doorframe, wall or other equipment"",561950,1.6,2.4.1.1.2.2,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-07-29,2022-09-05  15:47:09,Klaus-Peter Fichtner (EXT),,,,,,#Haz09 #Haz42,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,Moving parts,""Patient,User"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,B,High,A,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Rough handling test trolley,561951,5.2,2.4.1.1.2.2.1,""The trolley shall be designed to comply with IEC 60601-1 cl. 15.3.5.Assumed speed of the trolley: 0,8 m/s +/- 0,1 m/s"",Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-07-29,2022-03-25  10:42:37,Rudolf Siebenhaar,,rough_handling_test_trolley,,,,,,Requirement,Basic,System Integration Test,none,n.a.,Not Determined,Not determined,Not determined,Measure,Accepted,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User"",S1M,VB10,TrolleyU,,,,,,,,,,,,,NotDetermined,,,,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Startup main unit in standalone mode,563439,2.0,2.4.2,""Note, there are currently no risks related to """"Startup main unit in standalone mode"""" identified."",Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-08-05,2022-06-15  12:11:04,Johannes Schmidt,,,,,,,,Headline,Basic,n.a.,none,n.a.,Not Determined,Not determined,Not determined,,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,,S1M,VB10,,,,,,,,,,,,,,NotDetermined,,,,"
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Move main unit chassis in standalone mode;563431;1.7;2.4.3;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-08-05;2021-08-07  15:03:49;Yesin Gasmi (EXT);;;;;;;;Headline;Basic;n.a.;none;n.a.;Not Determined;Not determined;Not determined;;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;;NotDetermined;;;;
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Move main unit chassis in standalone mode;564254;1.4;2.4.3.1;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-08-12;2021-08-07  15:03:49;Yesin Gasmi (EXT);;;;;;;;Headline;Basic;n.a.;none;n.a.;Not Determined;Not determined;Not determined;Function;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;;NotDetermined;;;;
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),""Explosion, fire (HS_056, HS_030)"",564255,1.8,2.4.3.1.1,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-08-12,2021-08-07  15:04:27,Yesin Gasmi (EXT),,,,,,,,Headline,Basic,n.a.,none,n.a.,Not Determined,Not determined,Not determined,Hazard,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,""High temperature,Release of stored energy,Flammability,loss of basic safety or essential performance"",,S1M,VB10,,,,,,,,,,,,,,NotDetermined,,,,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Short circuit of the battery (external),564256,2.6,2.4.3.1.1.1,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-08-12,2022-09-26  16:53:43,Klaus-Peter Fichtner (EXT),,,,,,HS_056HS_030,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User,Service Personnel,System,Environment"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,C,Med,B,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Coded battery connector,564257,3.5,2.4.3.1.1.1.1,The battery connector for charging shall be coded in order to prevent connection with wrong polarity.,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-08-12,2021-08-07  15:04:26,Yesin Gasmi (EXT),,coded_battery_connector,,,""SFSIEC 60601-1; 15.4.3.1 Housing, 15.4.3.2 Connection"",,,Requirement,Basic,System Integration Test,none,n.a.,Not Determined,Not determined,Not determined,Measure,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,,S1M,VB10,Batt,,,,,,,,,,,,,NotDetermined,,,,"
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Battery housing preventing accidental short circuit;564258;2.11;2.4.3.1.1.1.2;The housing of the battery shall prevent accidental short circuit.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-08-12;2022-06-17  08:43:41;Johannes Schmidt;;battery_prevent_accidental_short_circuit;;;;;;Requirement;Basic;System Integration Test;none;n.a.;Not Determined;Not determined;Not determined;Measure;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;Batt;;;;;;;;;;;;;NotDetermined;;;;
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Wiring check battery in manufacturing;564259;2.10;2.4.3.1.1.1.3;The battery wiring shall be checked during manufacturing.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-08-12;2021-08-07  15:04:27;Yesin Gasmi (EXT);;check_wiring_battery;;;;;;Requirement;Basic;System Integration Test;none;n.a.;Not Determined;Not determined;Not determined;Measure;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;Batt;;;;;;;;;;;;;NotDetermined;;;;
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),""Overcharging of the battery (voltage, current)"",564267,1.8,2.4.3.1.1.2,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-08-12,2022-09-26  16:53:44,Klaus-Peter Fichtner (EXT),,,,,,HS_056HS_030,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User,Service Personnel,System,Environment"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,C,Med,B,"
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Prevent overcharging of battery;564260;4.8;2.4.3.1.1.2.1;Overcharging of the battery shall be prevented regarding voltage and current.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-08-12;2021-08-07  15:04:26;Yesin Gasmi (EXT);;prevent_overcharging_battery;;;SFS;;;Requirement;Basic;System Integration Test;none;n.a.;Not Determined;Not determined;Not determined;Measure;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;Batt;;;;;;;;;;;;;NotDetermined;;;;
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),""Overcharging of the battery, sleeping error in P path"",571858,1.3,2.4.3.1.1.3,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-10-19,2022-09-26  16:58:04,Klaus-Peter Fichtner (EXT),,,,,,HS_056HS_030,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User,Service Personnel,System,Environment"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,C,Med,B,"
PS_S1;Current Baseline;06H_Risk_Analysis (06H);Self-test of battery overcharging protection;571859;3.5;2.4.3.1.1.3.1;Self-test at startup of battery overcharging protection;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;2020-10-19;2021-08-07  15:04:26;Yesin Gasmi (EXT);;self-test_overcharging_battery;;;SFS;;;Requirement;Basic;System Integration Test;none;n.a.;Not Determined;Not determined;Not determined;Measure;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;Batt;;;;;;;;;;;;;NotDetermined;;;;
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Internal short circuits and temperature increase of the battery packs,564268,1.7,2.4.3.1.1.4,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-08-12,2022-09-26  16:53:44,Klaus-Peter Fichtner (EXT),,,,,,HS_056HS_030,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User,Environment"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,C,Med,B,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Prevent charging of battery with high temperature,564261,8.1,2.4.3.1.1.4.1,""The temperature of the battery unit shall be monitored. When a critical temperature is reached, the charging of the battery shall be blocked."",Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-08-12,2021-08-07  15:04:54,Yesin Gasmi (EXT),,prevent_charging_high_temperature_battery,,,SFS,,,Requirement,Basic,System Integration Test,none,n.a.,Not Determined,Not determined,Not determined,Measure,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,,S1M,VB10,Batt,,,,,,,,,,,,,NotDetermined,,,,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),Ventilation battery housing,577242,5.6,2.4.3.1.1.4.2,""The battery pack housing shall be ventilated in such a way that in case of gas emission the accumulation of gases is prevented.Note: Gas emission only in error condition, not normal condition. Ventilation prevents accumulation of gases and possible ignition."",Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2021-01-25,2021-08-07  15:04:31,Yesin Gasmi (EXT),,ventilation_battery_housing,,,SFSIEC 60601-1 cl. 15.4.3.1,,,Requirement,Basic,System Integration Test,empty,empty,Not Determined,Not determined,Not determined,Measure,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,,S1M,VB10,Batt,,,,,,,,,,,,,NotDetermined,,,,"
"PS_S1,Current Baseline,06H_Risk_Analysis (06H),""Internal short circuits and temperature increase of the battery packs, sleeping error in P path"",571860,1.3,2.4.3.1.1.5,,Approved,Unassigned,Judith Welzel,Judith,Welzel,Judith Welzel,,,2020-10-19,2022-09-26  16:58:04,Klaus-Peter Fichtner (EXT),,,,,,HS_056HS_030,See general justifications in the introduction which apply here.,Headline,Basic,n.a.,none,n.a.,Not Determined,3-B,3-A,Cause,TBD,NotDetermined,NotDetermined,NotDetermined,NotDetermined,No,None,,""Patient,User,Environment"",S1M,VB10,,,,,,,,,,,,,,NotDetermined,C,Med,B,"
